名称,種別,ＴＥＬ,住所,緯度,経度
鈴谷放課後児童クラブ,（公設）放課後児童クラブ,854-5694,中央区鈴谷５−１−１,35.8710612,139.6311672
大戸放課後児童クラブ,（公設）放課後児童クラブ,831-4320,中央区新中里１−６−２８,35.8725503,139.6354433
与野本町放課後児童クラブ,（公設）放課後児童クラブ,854-9332,中央区本町東３−５−２３,35.8840107,139.6233934
与野西北放課後児童クラブ,（公設）放課後児童クラブ,857-5889,中央区円阿弥４−３−７,35.88721,139.6075079
下落合放課後児童クラブ,（公設）放課後児童クラブ,858-0947,中央区上落合１−７−３３,35.8899739,139.6318691
上落合放課後児童クラブ,（公設）放課後児童クラブ,858-0938,中央区上落合４−１４−２４,35.8938249,139.6253201
与野南放課後児童クラブ,（公設）放課後児童クラブ,831-9536,中央区大戸６−２−１９,35.8671526,139.6348035
西浦和放課後児童クラブ,（公設）放課後児童クラブ,863-3160,桜区田島２−１６−７,35.8434562,139.6314637
大久保東放課後児童クラブ,（公設）放課後児童クラブ,855-0299,桜区大久保領家３３１,35.871326,139.6040776
土合放課後児童クラブ,（公設）放課後児童クラブ,861-8255,桜区南元宿１−１１−１,35.858801,139.6264248
栄和放課後児童クラブ,（公設）放課後児童クラブ,852-2440,桜区栄和１−７−１,35.8613438,139.6173915
田島放課後児童クラブ,（公設）放課後児童クラブ,866-8930,桜区田島１０−７−１４,35.8389981,139.6233547
新開放課後児童クラブ,（公設）放課後児童クラブ,838-2523,桜区新開２−１８−１,35.8507174,139.6174729
神田放課後児童クラブ,（公設）放課後児童クラブ,857-1118,桜区神田５４１−１,35.8749281,139.6068702
大久保放課後児童クラブ,（公設）放課後児童クラブ,855-9929,桜区五関２１,35.8721424,139.5982639
中島放課後児童クラブ,（公設）放課後児童クラブ,857-5125,桜区中島１−２８−１,35.8648519,139.6233676
常盤放課後児童クラブ,（公設）放課後児童クラブ,833-8582,浦和区常盤９−３０−９,35.8689472,139.644761
上木崎放課後児童クラブ,（公設）放課後児童クラブ,824-5778,浦和区上木崎３−１１−３３,35.8886409,139.6446804
仲町放課後児童クラブ,（公設）放課後児童クラブ,866-4077,浦和区仲町４−７−６,35.8601784,139.6451647
北浦和放課後児童クラブ,（公設）放課後児童クラブ,831-6860,浦和区北浦和２−１８−３,35.8771269,139.6491285
木崎放課後児童クラブ,（公設）放課後児童クラブ,831-6410,浦和区領家４−２０−１,35.8824363,139.6536774
本太放課後児童クラブ,（公設）放課後児童クラブ,886-2643,浦和区本太４−３−３９,35.8656386,139.6568972
針ケ谷放課後児童クラブ,（公設）放課後児童クラブ,822-6237,浦和区領家７−２−１９,35.8811049,139.6500344
大東放課後児童クラブ,（公設）放課後児童クラブ,881-6911,浦和区大東３−１４−１,35.8834452,139.6643849
高砂放課後児童クラブ,（公設）放課後児童クラブ,831-0900,浦和区岸町４−１−２９,35.8565402,139.6567957
岸町放課後児童クラブ,（公設）放課後児童クラブ,838-2073,浦和区岸町５−２０−４,35.851378,139.6508584
谷田放課後児童クラブ,（公設）放課後児童クラブ,885-9615,南区太田窪５−１０−６,35.8563425,139.6779167
大谷場放課後児童クラブ,（公設）放課後児童クラブ,887-6788,南区南浦和１−１８−３,35.8527792,139.6679633
南浦和放課後児童クラブ,（公設）放課後児童クラブ,866-4788,南区南本町１−１８−１３,35.8442508,139.6655522
沼影放課後児童クラブ,（公設）放課後児童クラブ,866-4377,南区曲本４−７−６,35.8378645,139.6403744
辻放課後児童クラブ,（公設）放課後児童クラブ,862-3255,南区辻６−３−２８,35.8332822,139.6583359
善前放課後児童クラブ,（公設）放課後児童クラブ,882-0720,南区太田窪２５００−１,35.8540178,139.6871988
文蔵放課後児童クラブ,（公設）放課後児童クラブ,837-8378,南区文蔵４−１９−３,35.837957,139.6695771
大谷口放課後児童クラブ,（公設）放課後児童クラブ,881-2781,南区大谷口９９３−１６,35.8602188,139.6811586
浦和別所放課後児童クラブ,（公設）放課後児童クラブ,837-5951,南区別所２−１５−６,35.8513468,139.6461043
大谷場東放課後児童クラブ,（公設）放課後児童クラブ,883-1255,南区大谷場２−１３−５４,35.8534215,139.6742528
浦和大里放課後児童クラブ,（公設）放課後児童クラブ,838-1441,南区鹿手袋４−１−１２,35.8487029,139.6421426
三室放課後児童クラブ,（公設）放課後児童クラブ,873-7838,緑区松木１−４−１１,35.8842246,139.6847253
中尾放課後児童クラブ,（公設）放課後児童クラブ,874-2422,緑区中尾４０−１,35.8687623,139.6821471
原山放課後児童クラブ,（公設）放課後児童クラブ,886-0199,緑区原山１−２２−２０,35.8678076,139.6737952
大牧放課後児童クラブ,（公設）放課後児童クラブ,874-0769,緑区東浦和６−１３−１５,35.8728879,139.7062927
大門放課後児童クラブ,（公設）放課後児童クラブ,878-4940,緑区大門１３６１−１３,35.8821515,139.7333349
道祖土放課後児童クラブ,（公設）放課後児童クラブ,885-2513,緑区道祖土１−１−１,35.8747684,139.6694647
野田放課後児童クラブ,（公設）放課後児童クラブ,812-3651,緑区上野田１６,35.9002313,139.7039468
城北放課後児童クラブ,（公設）放課後児童クラブ,757-8903,岩槻区岩槻６６１９,35.9620993,139.6933735
太田放課後児童クラブ,（公設）放課後児童クラブ,756-4487,岩槻区仲町１−１７−３,35.9483186,139.7038133
西原放課後児童クラブ,（公設）放課後児童クラブ,758-8011,岩槻区西原４−９７,35.9520932,139.68543
城南放課後児童クラブ,（公設）放課後児童クラブ,797-1898,岩槻区南下新井１１９１−１,35.9359332,139.712631
岩槻放課後児童クラブ,（公設）放課後児童クラブ,749-4174,岩槻区本町５−６−４５,35.9536949,139.6985366
慈恩寺放課後児童クラブ,（公設）放課後児童クラブ,795-3555,岩槻区慈恩寺２５９,35.9816894,139.7077972
東岩槻放課後児童クラブ,（公設）放課後児童クラブ,794-6151,岩槻区諏訪２−６−１,35.9701507,139.7097618
和土放課後児童クラブ,（公設）放課後児童クラブ,797-2670,岩槻区黒谷１３５３,35.9261999,139.7206831
徳力放課後児童クラブ,（公設）放課後児童クラブ,794-6106,岩槻区徳力１３６−４,35.9741002,139.71679
柏崎放課後児童クラブ,（公設）放課後児童クラブ,797-2705,岩槻区柏崎７６２,35.9337231,139.7014645
上里放課後児童クラブ,（公設）放課後児童クラブ,794-5757,岩槻区上里２−２,35.9649266,139.7043168
新和放課後児童クラブ,（公設）放課後児童クラブ,798-7762,岩槻区尾ヶ崎１２５２,35.9105858,139.7324384
