採水場所,採水年月,項目,水質基準値,検査結果,単位
北部配水場,2020年6月,亜鉛及びその化合物,1.0mg/L 以下,-,mg/L
北部配水場,2020年6月,アルミニウム及びその化合物,0.2mg/L 以下,-,mg/L
北部配水場,2020年6月,鉄及びその化合物,0.3mg/L 以下,-,mg/L
北部配水場,2020年6月,銅及びその化合物,1.0mg/L 以下,-,mg/L
北部配水場,2020年6月,ナトリウム及びその化合物,200mg/L 以下,-,mg/L
北部配水場,2020年6月,マンガン及びその化合物,0.05mg/L 以下,-,mg/L
北部配水場,2020年6月,塩化物イオン,200mg/L 以下,12.2,mg/L
北部配水場,2020年6月,カルシウム，マグネシウム等（硬度）,300mg/L 以下,-,mg/L
北部配水場,2020年6月,蒸発残留物,500mg/L 以下,-,mg/L
北部配水場,2020年6月,陰イオン界面活性剤,0.2mg/L 以下,-,mg/L
北部配水場,2020年6月,ジェオスミン,0.00001mg/L 以下,-,mg/L
北部配水場,2020年6月,2-メチルイソボルネオール,0.00001mg/L 以下,-,mg/L
北部配水場,2020年6月,非イオン界面活性剤,0.02mg/L 以下,-,mg/L
北部配水場,2020年6月,フェノ−ル類,0.005mg/L 以下,-,mg/L
北部配水場,2020年6月,有機物（全有機炭素（TOC）の量）,3mg/L 以下,0.9,mg/L
北部配水場,2020年6月,pH値,5.8以上8.6以下,7,ー
北部配水場,2020年6月,味,異常でないこと,異常なし,ー
北部配水場,2020年6月,臭気,異常でないこと,異常なし,ー
北部配水場,2020年6月,色度,5度以下,0.7,度
北部配水場,2020年6月,濁度,2度以下,0.1未満,度
北部配水場,2020年6月,遊離残留塩素,0.1mg/L以上,0.7,mg/L
尾間木配水場,2020年6月,気温,,26.1,℃
尾間木配水場,2020年6月,水温,,22.5,℃
尾間木配水場,2020年6月,一般細菌,100個／mL 以下,0,個/mL
尾間木配水場,2020年6月,大腸菌,検出されないこと,不検出,100ml中
尾間木配水場,2020年6月,カドミウム及びその化合物,0.003mg/L 以下,-,mg/L
尾間木配水場,2020年6月,水銀及びその化合物,0.0005mg/L 以下,-,mg/L
尾間木配水場,2020年6月,セレン及びその化合物,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,鉛及びその化合物,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ヒ素及びその化合物,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,六価クロム化合物,0.02mg/L 以下,-,mg/L
尾間木配水場,2020年6月,亜硝酸態窒素,0.04mg/L 以下,-,mg/L
尾間木配水場,2020年6月,シアン化物イオン及び塩化シアン,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,硝酸態窒素及び亜硝酸態窒素,10mg/L 以下,-,mg/L
尾間木配水場,2020年6月,フッ素及びその化合物,0.8mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ホウ素及びその化合物,1.0mg/L 以下,-,mg/L
尾間木配水場,2020年6月,四塩化炭素,0.002mg/L 以下,-,mg/L
尾間木配水場,2020年6月,"1,4-ジオキサン",0.05mg/L 以下,-,mg/L
尾間木配水場,2020年6月,"シス-1,2-ジクロロエチレン及びトランス-1,2-ジクロロエチレン",0.04mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ジクロロメタン,0.02mg/L 以下,-,mg/L
尾間木配水場,2020年6月,テトラクロロエチレン,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,トリクロロエチレン,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ベンゼン,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,塩素酸,0.6mg/L 以下,-,mg/L
尾間木配水場,2020年6月,クロロ酢酸,0.02mg/L 以下,-,mg/L
尾間木配水場,2020年6月,クロロホルム,0.06mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ジクロロ酢酸,0.03mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ジブロモクロロメタン,0.1mg/L 以下,-,mg/L
尾間木配水場,2020年6月,臭素酸,0.01mg/L 以下,-,mg/L
尾間木配水場,2020年6月,総トリハロメタン,0.1mg/L 以下,-,mg/L
尾間木配水場,2020年6月,トリクロロ酢酸,0.03mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ブロモジクロロメタン,0.03mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ブロモホルム,0.09mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ホルムアルデヒド,0.08mg/L 以下,-,mg/L
尾間木配水場,2020年6月,亜鉛及びその化合物,1.0mg/L 以下,-,mg/L
尾間木配水場,2020年6月,アルミニウム及びその化合物,0.2mg/L 以下,-,mg/L
尾間木配水場,2020年6月,鉄及びその化合物,0.3mg/L 以下,-,mg/L
尾間木配水場,2020年6月,銅及びその化合物,1.0mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ナトリウム及びその化合物,200mg/L 以下,-,mg/L
尾間木配水場,2020年6月,マンガン及びその化合物,0.05mg/L 以下,-,mg/L
尾間木配水場,2020年6月,塩化物イオン,200mg/L 以下,11.5,mg/L
尾間木配水場,2020年6月,カルシウム，マグネシウム等（硬度）,300mg/L 以下,-,mg/L
尾間木配水場,2020年6月,蒸発残留物,500mg/L 以下,-,mg/L
尾間木配水場,2020年6月,陰イオン界面活性剤,0.2mg/L 以下,-,mg/L
尾間木配水場,2020年6月,ジェオスミン,0.00001mg/L 以下,-,mg/L
尾間木配水場,2020年6月,2-メチルイソボルネオール,0.00001mg/L 以下,-,mg/L
尾間木配水場,2020年6月,非イオン界面活性剤,0.02mg/L 以下,-,mg/L
尾間木配水場,2020年6月,フェノ−ル類,0.005mg/L 以下,-,mg/L
尾間木配水場,2020年6月,有機物（全有機炭素（TOC）の量）,3mg/L 以下,0.8,mg/L
尾間木配水場,2020年6月,pH値,5.8以上8.6以下,7.2,ー
尾間木配水場,2020年6月,味,異常でないこと,異常なし,ー
尾間木配水場,2020年6月,臭気,異常でないこと,異常なし,ー
尾間木配水場,2020年6月,色度,5度以下,0.7,度
尾間木配水場,2020年6月,濁度,2度以下,0.1未満,度
尾間木配水場,2020年6月,遊離残留塩素,0.1mg/L以上,0.8,mg/L
白幡配水場,2020年6月,気温,,28.6,℃
白幡配水場,2020年6月,水温,,24.4,℃
白幡配水場,2020年6月,一般細菌,100個／mL 以下,0,個/mL
白幡配水場,2020年6月,大腸菌,検出されないこと,不検出,100ml中
白幡配水場,2020年6月,カドミウム及びその化合物,0.003mg/L 以下,-,mg/L
白幡配水場,2020年6月,水銀及びその化合物,0.0005mg/L 以下,-,mg/L
白幡配水場,2020年6月,セレン及びその化合物,0.01mg/L 以下,-,mg/L
白幡配水場,2020年6月,鉛及びその化合物,0.01mg/L 以下,0.001未満,mg/L
白幡配水場,2020年6月,ヒ素及びその化合物,0.01mg/L 以下,0.001未満,mg/L
白幡配水場,2020年6月,六価クロム化合物,0.02mg/L 以下,0.002未満,mg/L
白幡配水場,2020年6月,亜硝酸態窒素,0.04mg/L 以下,0.004未満,mg/L
白幡配水場,2020年6月,シアン化物イオン及び塩化シアン,0.01mg/L 以下,0.001未満,mg/L
白幡配水場,2020年6月,硝酸態窒素及び亜硝酸態窒素,10mg/L 以下,1.39,mg/L
白幡配水場,2020年6月,フッ素及びその化合物,0.8mg/L 以下,0.11,mg/L
白幡配水場,2020年6月,ホウ素及びその化合物,1.0mg/L 以下,-,mg/L
白幡配水場,2020年6月,四塩化炭素,0.002mg/L 以下,-,mg/L
白幡配水場,2020年6月,"1,4-ジオキサン",0.05mg/L 以下,-,mg/L
白幡配水場,2020年6月,"シス-1,2-ジクロロエチレン及びトランス-1,2-ジクロロエチレン",0.04mg/L 以下,-,mg/L
白幡配水場,2020年6月,ジクロロメタン,0.02mg/L 以下,-,mg/L
白幡配水場,2020年6月,テトラクロロエチレン,0.01mg/L 以下,-,mg/L
白幡配水場,2020年6月,トリクロロエチレン,0.01mg/L 以下,-,mg/L
白幡配水場,2020年6月,ベンゼン,0.01mg/L 以下,-,mg/L
白幡配水場,2020年6月,塩素酸,0.6mg/L 以下,0.06未満,mg/L
白幡配水場,2020年6月,クロロ酢酸,0.02mg/L 以下,0.002未満,mg/L
白幡配水場,2020年6月,クロロホルム,0.06mg/L 以下,0.012,mg/L
白幡配水場,2020年6月,ジクロロ酢酸,0.03mg/L 以下,0.008,mg/L
白幡配水場,2020年6月,ジブロモクロロメタン,0.1mg/L 以下,0.003,mg/L
白幡配水場,2020年6月,臭素酸,0.01mg/L 以下,0.001未満,mg/L
白幡配水場,2020年6月,総トリハロメタン,0.1mg/L 以下,0.023,mg/L
白幡配水場,2020年6月,トリクロロ酢酸,0.03mg/L 以下,0.006,mg/L
白幡配水場,2020年6月,ブロモジクロロメタン,0.03mg/L 以下,0.008,mg/L
白幡配水場,2020年6月,ブロモホルム,0.09mg/L 以下,0.001未満,mg/L
白幡配水場,2020年6月,ホルムアルデヒド,0.08mg/L 以下,0.005未満,mg/L
白幡配水場,2020年6月,亜鉛及びその化合物,1.0mg/L 以下,-,mg/L
白幡配水場,2020年6月,アルミニウム及びその化合物,0.2mg/L 以下,0.03,mg/L
白幡配水場,2020年6月,鉄及びその化合物,0.3mg/L 以下,0.03未満,mg/L
白幡配水場,2020年6月,銅及びその化合物,1.0mg/L 以下,-,mg/L
白幡配水場,2020年6月,ナトリウム及びその化合物,200mg/L 以下,10.1,mg/L
白幡配水場,2020年6月,マンガン及びその化合物,0.05mg/L 以下,0.001,mg/L
白幡配水場,2020年6月,塩化物イオン,200mg/L 以下,15.5,mg/L
白幡配水場,2020年6月,カルシウム，マグネシウム等（硬度）,300mg/L 以下,70,mg/L
白幡配水場,2020年6月,蒸発残留物,500mg/L 以下,142,mg/L
白幡配水場,2020年6月,陰イオン界面活性剤,0.2mg/L 以下,-,mg/L
白幡配水場,2020年6月,ジェオスミン,0.00001mg/L 以下,-,mg/L
白幡配水場,2020年6月,2-メチルイソボルネオール,0.00001mg/L 以下,-,mg/L
白幡配水場,2020年6月,非イオン界面活性剤,0.02mg/L 以下,0.005未満,mg/L
白幡配水場,2020年6月,フェノ−ル類,0.005mg/L 以下,-,mg/L
白幡配水場,2020年6月,有機物（全有機炭素（TOC）の量）,3mg/L 以下,0.9,mg/L
白幡配水場,2020年6月,pH値,5.8以上8.6以下,7.1,ー
白幡配水場,2020年6月,味,異常でないこと,異常なし,ー
白幡配水場,2020年6月,臭気,異常でないこと,異常なし,ー
白幡配水場,2020年6月,色度,5度以下,0.7,度
白幡配水場,2020年6月,濁度,2度以下,0.1未満,度
白幡配水場,2020年6月,遊離残留塩素,0.1mg/L以上,0.8,mg/L
深作配水場,2020年6月,気温,,24.8,℃
深作配水場,2020年6月,水温,,23.5,℃
深作配水場,2020年6月,一般細菌,100個／mL 以下,0,個/mL
深作配水場,2020年6月,大腸菌,検出されないこと,不検出,100ml中
深作配水場,2020年6月,カドミウム及びその化合物,0.003mg/L 以下,-,mg/L
深作配水場,2020年6月,水銀及びその化合物,0.0005mg/L 以下,-,mg/L
深作配水場,2020年6月,セレン及びその化合物,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,鉛及びその化合物,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,ヒ素及びその化合物,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,六価クロム化合物,0.02mg/L 以下,-,mg/L
深作配水場,2020年6月,亜硝酸態窒素,0.04mg/L 以下,-,mg/L
深作配水場,2020年6月,シアン化物イオン及び塩化シアン,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,硝酸態窒素及び亜硝酸態窒素,10mg/L 以下,-,mg/L
深作配水場,2020年6月,フッ素及びその化合物,0.8mg/L 以下,-,mg/L
深作配水場,2020年6月,ホウ素及びその化合物,1.0mg/L 以下,-,mg/L
深作配水場,2020年6月,四塩化炭素,0.002mg/L 以下,-,mg/L
深作配水場,2020年6月,"1,4-ジオキサン",0.05mg/L 以下,-,mg/L
深作配水場,2020年6月,"シス-1,2-ジクロロエチレン及びトランス-1,2-ジクロロエチレン",0.04mg/L 以下,-,mg/L
深作配水場,2020年6月,ジクロロメタン,0.02mg/L 以下,-,mg/L
深作配水場,2020年6月,テトラクロロエチレン,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,トリクロロエチレン,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,ベンゼン,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,塩素酸,0.6mg/L 以下,-,mg/L
深作配水場,2020年6月,クロロ酢酸,0.02mg/L 以下,-,mg/L
深作配水場,2020年6月,クロロホルム,0.06mg/L 以下,-,mg/L
深作配水場,2020年6月,ジクロロ酢酸,0.03mg/L 以下,-,mg/L
深作配水場,2020年6月,ジブロモクロロメタン,0.1mg/L 以下,-,mg/L
深作配水場,2020年6月,臭素酸,0.01mg/L 以下,-,mg/L
深作配水場,2020年6月,総トリハロメタン,0.1mg/L 以下,-,mg/L
深作配水場,2020年6月,トリクロロ酢酸,0.03mg/L 以下,-,mg/L
深作配水場,2020年6月,ブロモジクロロメタン,0.03mg/L 以下,-,mg/L
深作配水場,2020年6月,ブロモホルム,0.09mg/L 以下,-,mg/L
深作配水場,2020年6月,ホルムアルデヒド,0.08mg/L 以下,-,mg/L
深作配水場,2020年6月,亜鉛及びその化合物,1.0mg/L 以下,-,mg/L
深作配水場,2020年6月,アルミニウム及びその化合物,0.2mg/L 以下,-,mg/L
深作配水場,2020年6月,鉄及びその化合物,0.3mg/L 以下,-,mg/L
深作配水場,2020年6月,銅及びその化合物,1.0mg/L 以下,-,mg/L
深作配水場,2020年6月,ナトリウム及びその化合物,200mg/L 以下,-,mg/L
深作配水場,2020年6月,マンガン及びその化合物,0.05mg/L 以下,-,mg/L
深作配水場,2020年6月,塩化物イオン,200mg/L 以下,16.8,mg/L
深作配水場,2020年6月,カルシウム，マグネシウム等（硬度）,300mg/L 以下,-,mg/L
深作配水場,2020年6月,蒸発残留物,500mg/L 以下,-,mg/L
深作配水場,2020年6月,陰イオン界面活性剤,0.2mg/L 以下,-,mg/L
深作配水場,2020年6月,ジェオスミン,0.00001mg/L 以下,-,mg/L
深作配水場,2020年6月,2-メチルイソボルネオール,0.00001mg/L 以下,-,mg/L
深作配水場,2020年6月,非イオン界面活性剤,0.02mg/L 以下,-,mg/L
深作配水場,2020年6月,フェノ−ル類,0.005mg/L 以下,-,mg/L
深作配水場,2020年6月,有機物（全有機炭素（TOC）の量）,3mg/L 以下,1,mg/L
深作配水場,2020年6月,pH値,5.8以上8.6以下,7.1,ー
深作配水場,2020年6月,味,異常でないこと,異常なし,ー
深作配水場,2020年6月,臭気,異常でないこと,異常なし,ー
深作配水場,2020年6月,色度,5度以下,0.8,度
深作配水場,2020年6月,濁度,2度以下,0.1未満,度
深作配水場,2020年6月,遊離残留塩素,0.1mg/L以上,0.7,mg/L
大宮配水場,2020年6月,気温,,24.8,℃
大宮配水場,2020年6月,水温,,22.4,℃
大宮配水場,2020年6月,一般細菌,100個／mL 以下,0,個/mL
大宮配水場,2020年6月,大腸菌,検出されないこと,不検出,100ml中
大宮配水場,2020年6月,カドミウム及びその化合物,0.003mg/L 以下,-,mg/L
大宮配水場,2020年6月,水銀及びその化合物,0.0005mg/L 以下,-,mg/L
大宮配水場,2020年6月,セレン及びその化合物,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,鉛及びその化合物,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,ヒ素及びその化合物,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,六価クロム化合物,0.02mg/L 以下,-,mg/L
大宮配水場,2020年6月,亜硝酸態窒素,0.04mg/L 以下,-,mg/L
大宮配水場,2020年6月,シアン化物イオン及び塩化シアン,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,硝酸態窒素及び亜硝酸態窒素,10mg/L 以下,-,mg/L
大宮配水場,2020年6月,フッ素及びその化合物,0.8mg/L 以下,-,mg/L
大宮配水場,2020年6月,ホウ素及びその化合物,1.0mg/L 以下,-,mg/L
大宮配水場,2020年6月,四塩化炭素,0.002mg/L 以下,-,mg/L
大宮配水場,2020年6月,"1,4-ジオキサン",0.05mg/L 以下,-,mg/L
大宮配水場,2020年6月,"シス-1,2-ジクロロエチレン及びトランス-1,2-ジクロロエチレン",0.04mg/L 以下,-,mg/L
大宮配水場,2020年6月,ジクロロメタン,0.02mg/L 以下,-,mg/L
大宮配水場,2020年6月,テトラクロロエチレン,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,トリクロロエチレン,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,ベンゼン,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,塩素酸,0.6mg/L 以下,-,mg/L
大宮配水場,2020年6月,クロロ酢酸,0.02mg/L 以下,-,mg/L
大宮配水場,2020年6月,クロロホルム,0.06mg/L 以下,-,mg/L
大宮配水場,2020年6月,ジクロロ酢酸,0.03mg/L 以下,-,mg/L
大宮配水場,2020年6月,ジブロモクロロメタン,0.1mg/L 以下,-,mg/L
大宮配水場,2020年6月,臭素酸,0.01mg/L 以下,-,mg/L
大宮配水場,2020年6月,総トリハロメタン,0.1mg/L 以下,-,mg/L
大宮配水場,2020年6月,トリクロロ酢酸,0.03mg/L 以下,-,mg/L
大宮配水場,2020年6月,ブロモジクロロメタン,0.03mg/L 以下,-,mg/L
大宮配水場,2020年6月,ブロモホルム,0.09mg/L 以下,-,mg/L
大宮配水場,2020年6月,ホルムアルデヒド,0.08mg/L 以下,-,mg/L
大宮配水場,2020年6月,亜鉛及びその化合物,1.0mg/L 以下,-,mg/L
大宮配水場,2020年6月,アルミニウム及びその化合物,0.2mg/L 以下,-,mg/L
大宮配水場,2020年6月,鉄及びその化合物,0.3mg/L 以下,-,mg/L
大宮配水場,2020年6月,銅及びその化合物,1.0mg/L 以下,-,mg/L
大宮配水場,2020年6月,ナトリウム及びその化合物,200mg/L 以下,-,mg/L
大宮配水場,2020年6月,マンガン及びその化合物,0.05mg/L 以下,-,mg/L
大宮配水場,2020年6月,塩化物イオン,200mg/L 以下,12.4,mg/L
大宮配水場,2020年6月,カルシウム，マグネシウム等（硬度）,300mg/L 以下,-,mg/L
大宮配水場,2020年6月,蒸発残留物,500mg/L 以下,-,mg/L
大宮配水場,2020年6月,陰イオン界面活性剤,0.2mg/L 以下,-,mg/L
大宮配水場,2020年6月,ジェオスミン,0.00001mg/L 以下,-,mg/L
大宮配水場,2020年6月,2-メチルイソボルネオール,0.00001mg/L 以下,-,mg/L
大宮配水場,2020年6月,非イオン界面活性剤,0.02mg/L 以下,-,mg/L
大宮配水場,2020年6月,フェノ−ル類,0.005mg/L 以下,-,mg/L
大宮配水場,2020年6月,有機物（全有機炭素（TOC）の量）,3mg/L 以下,0.9,mg/L
大宮配水場,2020年6月,pH値,5.8以上8.6以下,7.2,ー
大宮配水場,2020年6月,味,異常でないこと,異常なし,ー
大宮配水場,2020年6月,臭気,異常でないこと,異常なし,ー
大宮配水場,2020年6月,色度,5度以下,0.6,度
大宮配水場,2020年6月,濁度,2度以下,0.1未満,度
大宮配水場,2020年6月,遊離残留塩素,0.1mg/L以上,0.8,mg/L
新都心配水場,2020年6月,気温,,20.2,℃
新都心配水場,2020年6月,水温,,23.3,℃
新都心配水場,2020年6月,一般細菌,100個／mL 以下,0,個/mL
新都心配水場,2020年6月,大腸菌,検出されないこと,不検出,100ml中
新都心配水場,2020年6月,カドミウム及びその化合物,0.003mg/L 以下,-,mg/L
新都心配水場,2020年6月,水銀及びその化合物,0.0005mg/L 以下,-,mg/L
新都心配水場,2020年6月,セレン及びその化合物,0.01mg/L 以下,-,mg/L
新都心配水場,2020年6月,鉛及びその化合物,0.01mg/L 以下,0.001未満,mg/L
新都心配水場,2020年6月,ヒ素及びその化合物,0.01mg/L 以下,0.001未満,mg/L
新都心配水場,2020年6月,六価クロム化合物,0.02mg/L 以下,0.002未満,mg/L
新都心配水場,2020年6月,亜硝酸態窒素,0.04mg/L 以下,0.004未満,mg/L
新都心配水場,2020年6月,シアン化物イオン及び塩化シアン,0.01mg/L 以下,0.001未満,mg/L
新都心配水場,2020年6月,硝酸態窒素及び亜硝酸態窒素,10mg/L 以下,1.52,mg/L
新都心配水場,2020年6月,フッ素及びその化合物,0.8mg/L 以下,0.11,mg/L
新都心配水場,2020年6月,ホウ素及びその化合物,1.0mg/L 以下,-,mg/L
新都心配水場,2020年6月,四塩化炭素,0.002mg/L 以下,-,mg/L
新都心配水場,2020年6月,"1,4-ジオキサン",0.05mg/L 以下,-,mg/L
新都心配水場,2020年6月,"シス-1,2-ジクロロエチレン及びトランス-1,2-ジクロロエチレン",0.04mg/L 以下,-,mg/L
新都心配水場,2020年6月,ジクロロメタン,0.02mg/L 以下,-,mg/L
新都心配水場,2020年6月,テトラクロロエチレン,0.01mg/L 以下,-,mg/L
新都心配水場,2020年6月,トリクロロエチレン,0.01mg/L 以下,-,mg/L
新都心配水場,2020年6月,ベンゼン,0.01mg/L 以下,-,mg/L
新都心配水場,2020年6月,塩素酸,0.6mg/L 以下,0.06未満,mg/L
新都心配水場,2020年6月,クロロ酢酸,0.02mg/L 以下,0.002未満,mg/L
新都心配水場,2020年6月,クロロホルム,0.06mg/L 以下,0.012,mg/L
新都心配水場,2020年6月,ジクロロ酢酸,0.03mg/L 以下,0.007,mg/L
新都心配水場,2020年6月,ジブロモクロロメタン,0.1mg/L 以下,0.005,mg/L
新都心配水場,2020年6月,臭素酸,0.01mg/L 以下,0.001未満,mg/L
新都心配水場,2020年6月,総トリハロメタン,0.1mg/L 以下,0.026,mg/L
新都心配水場,2020年6月,トリクロロ酢酸,0.03mg/L 以下,0.005,mg/L
新都心配水場,2020年6月,ブロモジクロロメタン,0.03mg/L 以下,0.009,mg/L
新都心配水場,2020年6月,ブロモホルム,0.09mg/L 以下,0.001未満,mg/L
新都心配水場,2020年6月,ホルムアルデヒド,0.08mg/L 以下,0.005未満,mg/L
新都心配水場,2020年6月,亜鉛及びその化合物,1.0mg/L 以下,-,mg/L
新都心配水場,2020年6月,アルミニウム及びその化合物,0.2mg/L 以下,0.03,mg/L
新都心配水場,2020年6月,鉄及びその化合物,0.3mg/L 以下,0.03未満,mg/L
新都心配水場,2020年6月,銅及びその化合物,1.0mg/L 以下,-,mg/L
新都心配水場,2020年6月,ナトリウム及びその化合物,200mg/L 以下,12,mg/L
新都心配水場,2020年6月,マンガン及びその化合物,0.05mg/L 以下,0.001未満,mg/L
新都心配水場,2020年6月,塩化物イオン,200mg/L 以下,17.9,mg/L
新都心配水場,2020年6月,カルシウム，マグネシウム等（硬度）,300mg/L 以下,72,mg/L
新都心配水場,2020年6月,蒸発残留物,500mg/L 以下,144,mg/L
新都心配水場,2020年6月,陰イオン界面活性剤,0.2mg/L 以下,-,mg/L
新都心配水場,2020年6月,ジェオスミン,0.00001mg/L 以下,-,mg/L
新都心配水場,2020年6月,2-メチルイソボルネオール,0.00001mg/L 以下,-,mg/L
新都心配水場,2020年6月,非イオン界面活性剤,0.02mg/L 以下,0.005未満,mg/L
新都心配水場,2020年6月,フェノ−ル類,0.005mg/L 以下,-,mg/L
新都心配水場,2020年6月,有機物（全有機炭素（TOC）の量）,3mg/L 以下,0.8,mg/L
新都心配水場,2020年6月,pH値,5.8以上8.6以下,7.2,ー
新都心配水場,2020年6月,味,異常でないこと,異常なし,ー
新都心配水場,2020年6月,臭気,異常でないこと,異常なし,ー
新都心配水場,2020年6月,色度,5度以下,0.6,度
新都心配水場,2020年6月,濁度,2度以下,0.1未満,度
新都心配水場,2020年6月,遊離残留塩素,0.1mg/L以上,0.8,mg/L
南浦和浄水場,2020年6月,気温,,29.7,℃
南浦和浄水場,2020年6月,水温,,17.4,℃
南浦和浄水場,2020年6月,一般細菌,100個／mL 以下,0,個/mL
南浦和浄水場,2020年6月,大腸菌,検出されないこと,不検出,100ml中
南浦和浄水場,2020年6月,カドミウム及びその化合物,0.003mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,水銀及びその化合物,0.0005mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,セレン及びその化合物,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,鉛及びその化合物,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ヒ素及びその化合物,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,六価クロム化合物,0.02mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,亜硝酸態窒素,0.04mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,シアン化物イオン及び塩化シアン,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,硝酸態窒素及び亜硝酸態窒素,10mg/L 以下,5.35,mg/L
南浦和浄水場,2020年6月,フッ素及びその化合物,0.8mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ホウ素及びその化合物,1.0mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,四塩化炭素,0.002mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,"1,4-ジオキサン",0.05mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,"シス-1,2-ジクロロエチレン及びトランス-1,2-ジクロロエチレン",0.04mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ジクロロメタン,0.02mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,テトラクロロエチレン,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,トリクロロエチレン,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ベンゼン,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,塩素酸,0.6mg/L 以下,0.06未満,mg/L
南浦和浄水場,2020年6月,クロロ酢酸,0.02mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,クロロホルム,0.06mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ジクロロ酢酸,0.03mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ジブロモクロロメタン,0.1mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,臭素酸,0.01mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,総トリハロメタン,0.1mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,トリクロロ酢酸,0.03mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ブロモジクロロメタン,0.03mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ブロモホルム,0.09mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ホルムアルデヒド,0.08mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,亜鉛及びその化合物,1.0mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,アルミニウム及びその化合物,0.2mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,鉄及びその化合物,0.3mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,銅及びその化合物,1.0mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ナトリウム及びその化合物,200mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,マンガン及びその化合物,0.05mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,塩化物イオン,200mg/L 以下,18.3,mg/L
南浦和浄水場,2020年6月,カルシウム，マグネシウム等（硬度）,300mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,蒸発残留物,500mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,陰イオン界面活性剤,0.2mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,ジェオスミン,0.00001mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,2-メチルイソボルネオール,0.00001mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,非イオン界面活性剤,0.02mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,フェノ−ル類,0.005mg/L 以下,-,mg/L
南浦和浄水場,2020年6月,有機物（全有機炭素（TOC）の量）,3mg/L 以下,0.1未満,mg/L
南浦和浄水場,2020年6月,pH値,5.8以上8.6以下,7.4,ー
